[FH] DLTR: wrote 3 files, skipped 362
[FH] DLTR: wrote 0 files, skipped 365
[FH] DLTR: wrote 0 files, skipped 365
[FH] DLTR: wrote 0 files, skipped 365
[FH] DLTR: wrote 0 files, skipped 365
[FH] DLTR: wrote 0 files, skipped 365
[FH] DLTR: wrote 0 files, skipped 365
[FH] DLTR: wrote 0 files, skipped 365
[FH] DLTR: wrote 0 files, skipped 365
[FH] DLTR: wrote 0 files, skipped 365
[FH] DLTR: wrote 1 files, skipped 364
[FH] DLTR: wrote 0 files, skipped 365
