[FH] CNP: wrote 3 files, skipped 362
[FH] CNP: wrote 0 files, skipped 365
[FH] CNP: wrote 0 files, skipped 365
[FH] CNP: wrote 0 files, skipped 365
[FH] CNP: wrote 0 files, skipped 365
[FH] CNP: wrote 0 files, skipped 365
[FH] CNP: wrote 0 files, skipped 365
[FH] CNP: wrote 0 files, skipped 365
[FH] CNP: wrote 0 files, skipped 365
[FH] CNP: wrote 0 files, skipped 365
[FH] CNP: wrote 1 files, skipped 364
