[FH] APA: wrote 4 files, skipped 361
[FH] APA: wrote 0 files, skipped 365
[FH] APA: wrote 0 files, skipped 365
[FH] APA: wrote 0 files, skipped 365
[FH] APA: wrote 0 files, skipped 365
[FH] APA: wrote 0 files, skipped 365
[FH] APA: wrote 0 files, skipped 365
[FH] APA: wrote 0 files, skipped 365
[FH] APA: wrote 0 files, skipped 365
[FH] APA: wrote 0 files, skipped 365
[FH] APA: wrote 1 files, skipped 364
