[FH] AMAT: wrote 4 files, skipped 361
[FH] AMAT: wrote 0 files, skipped 365
[FH] AMAT: wrote 0 files, skipped 365
[FH] AMAT: wrote 0 files, skipped 365
[FH] AMAT: wrote 0 files, skipped 365
[FH] AMAT: wrote 0 files, skipped 365
[FH] AMAT: wrote 0 files, skipped 365
[FH] AMAT: wrote 0 files, skipped 365
[FH] AMAT: wrote 0 files, skipped 365
[FH] AMAT: wrote 0 files, skipped 365
[FH] AMAT: wrote 1 files, skipped 364
[FH] AMAT: wrote 0 files, skipped 365
