[FH] COIN: wrote 3 files, skipped 362
[FH] COIN: wrote 0 files, skipped 365
[FH] COIN: wrote 0 files, skipped 365
[FH] COIN: wrote 0 files, skipped 365
[FH] COIN: wrote 0 files, skipped 365
[FH] COIN: wrote 0 files, skipped 365
[FH] COIN: wrote 0 files, skipped 365
[FH] COIN: wrote 0 files, skipped 365
[FH] COIN: wrote 0 files, skipped 365
[FH] COIN: wrote 0 files, skipped 365
[FH] COIN: wrote 1 files, skipped 364
