[FH] BBY: wrote 3 files, skipped 362
[FH] BBY: wrote 0 files, skipped 365
[FH] BBY: wrote 0 files, skipped 365
[FH] BBY: wrote 0 files, skipped 365
[FH] BBY: wrote 0 files, skipped 365
[FH] BBY: wrote 0 files, skipped 365
[FH] BBY: wrote 0 files, skipped 365
[FH] BBY: wrote 0 files, skipped 365
[FH] BBY: wrote 0 files, skipped 365
