[FH] AMZN: wrote 4 files, skipped 361
[FH] AMZN: wrote 0 files, skipped 365
[FH] AMZN: wrote 0 files, skipped 365
[FH] AMZN: wrote 0 files, skipped 365
[FH] AMZN: wrote 0 files, skipped 365
[FH] AMZN: wrote 0 files, skipped 365
[FH] AMZN: wrote 0 files, skipped 365
[FH] AMZN: wrote 0 files, skipped 365
[FH] AMZN: wrote 0 files, skipped 365
[FH] AMZN: wrote 0 files, skipped 365
[FH] AMZN: wrote 1 files, skipped 364
