[FH] CDW: wrote 3 files, skipped 362
[FH] CDW: wrote 0 files, skipped 365
[FH] CDW: wrote 0 files, skipped 365
[FH] CDW: wrote 0 files, skipped 365
[FH] CDW: wrote 0 files, skipped 365
[FH] CDW: wrote 0 files, skipped 365
[FH] CDW: wrote 0 files, skipped 365
[FH] CDW: wrote 0 files, skipped 365
[FH] CDW: wrote 0 files, skipped 365
[FH] CDW: wrote 0 files, skipped 365
