[FH] FAST: wrote 3 files, skipped 362
[FH] FAST: wrote 0 files, skipped 365
[FH] FAST: wrote 0 files, skipped 365
[FH] FAST: wrote 0 files, skipped 365
[FH] FAST: wrote 0 files, skipped 365
[FH] FAST: wrote 0 files, skipped 365
[FH] FAST: wrote 0 files, skipped 365
[FH] FAST: wrote 0 files, skipped 365
[FH] FAST: wrote 0 files, skipped 365
