[FH] DGX: wrote 3 files, skipped 362
[FH] DGX: wrote 0 files, skipped 365
[FH] DGX: wrote 0 files, skipped 365
[FH] DGX: wrote 0 files, skipped 365
[FH] DGX: wrote 0 files, skipped 365
[FH] DGX: wrote 0 files, skipped 365
[FH] DGX: wrote 0 files, skipped 365
[FH] DGX: wrote 0 files, skipped 365
[FH] DGX: wrote 0 files, skipped 365
[FH] DGX: wrote 0 files, skipped 365
[FH] DGX: wrote 1 files, skipped 364
