[FH] DG: wrote 3 files, skipped 362
[FH] DG: wrote 0 files, skipped 365
[FH] DG: wrote 0 files, skipped 365
[FH] DG: wrote 0 files, skipped 365
[FH] DG: wrote 0 files, skipped 365
[FH] DG: wrote 0 files, skipped 365
[FH] DG: wrote 0 files, skipped 365
[FH] DG: wrote 0 files, skipped 365
[FH] DG: wrote 0 files, skipped 365
[FH] DG: wrote 0 files, skipped 365
[FH] DG: wrote 1 files, skipped 364
