[FH] BAX: wrote 3 files, skipped 362
[FH] BAX: wrote 0 files, skipped 365
[FH] BAX: wrote 0 files, skipped 365
[FH] BAX: wrote 0 files, skipped 365
[FH] BAX: wrote 0 files, skipped 365
[FH] BAX: wrote 0 files, skipped 365
[FH] BAX: wrote 0 files, skipped 365
[FH] BAX: wrote 0 files, skipped 365
[FH] BAX: wrote 0 files, skipped 365
[FH] BAX: wrote 0 files, skipped 365
[FH] BAX: wrote 1 files, skipped 364
