[FH] AMP: wrote 4 files, skipped 361
[FH] AMP: wrote 0 files, skipped 365
[FH] AMP: wrote 0 files, skipped 365
[FH] AMP: wrote 0 files, skipped 365
[FH] AMP: wrote 0 files, skipped 365
[FH] AMP: wrote 0 files, skipped 365
[FH] AMP: wrote 0 files, skipped 365
[FH] AMP: wrote 0 files, skipped 365
[FH] AMP: wrote 0 files, skipped 365
