[FH] AMD: wrote 4 files, skipped 361
[FH] AMD: wrote 0 files, skipped 365
[FH] AMD: wrote 0 files, skipped 365
[FH] AMD: wrote 0 files, skipped 365
[FH] AMD: wrote 0 files, skipped 365
[FH] AMD: wrote 0 files, skipped 365
[FH] AMD: wrote 0 files, skipped 365
[FH] AMD: wrote 0 files, skipped 365
[FH] AMD: wrote 0 files, skipped 365
