[FH] SWKS: wrote 1 files, skipped 364
[FH] SWKS: wrote 0 files, skipped 365
[FH] SWKS: wrote 0 files, skipped 365
[FH] SWKS: wrote 0 files, skipped 365
[FH] SWKS: wrote 0 files, skipped 365
[FH] SWKS: wrote 0 files, skipped 365
[FH] SWKS: wrote 0 files, skipped 365
[FH] SWKS: wrote 0 files, skipped 365
[FH] SWKS: wrote 0 files, skipped 365
[FH] SWKS: wrote 0 files, skipped 365
