[FH] NDAQ: wrote 2 files, skipped 363
[FH] NDAQ: wrote 0 files, skipped 365
[FH] NDAQ: wrote 0 files, skipped 365
[FH] NDAQ: wrote 0 files, skipped 365
[FH] NDAQ: wrote 0 files, skipped 365
[FH] NDAQ: wrote 0 files, skipped 365
[FH] NDAQ: wrote 0 files, skipped 365
[FH] NDAQ: wrote 0 files, skipped 365
[FH] NDAQ: wrote 0 files, skipped 365
[FH] NDAQ: wrote 0 files, skipped 365
[FH] NDAQ: wrote 1 files, skipped 364
[FH] NDAQ: wrote 0 files, skipped 365
