[FH] ERIE: wrote 3 files, skipped 362
[FH] ERIE: wrote 0 files, skipped 365
[FH] ERIE: wrote 0 files, skipped 365
[FH] ERIE: wrote 0 files, skipped 365
[FH] ERIE: wrote 0 files, skipped 365
[FH] ERIE: wrote 0 files, skipped 365
[FH] ERIE: wrote 0 files, skipped 365
[FH] ERIE: wrote 0 files, skipped 365
[FH] ERIE: wrote 0 files, skipped 365
[FH] ERIE: wrote 0 files, skipped 365
