[FH] BF-B: wrote 3 files, skipped 362
[FH] BF-B: wrote 0 files, skipped 365
[FH] BF-B: wrote 0 files, skipped 365
[FH] BF-B: wrote 0 files, skipped 365
[FH] BF-B: wrote 0 files, skipped 365
[FH] BF-B: wrote 0 files, skipped 365
[FH] BF-B: wrote 0 files, skipped 365
[FH] BF-B: wrote 0 files, skipped 365
[FH] BF-B: wrote 0 files, skipped 365
[FH] BF-B: wrote 0 files, skipped 365
