[FH] BSX: wrote 3 files, skipped 362
[FH] BSX: wrote 0 files, skipped 365
[FH] BSX: wrote 0 files, skipped 365
[FH] BSX: wrote 0 files, skipped 365
[FH] BSX: wrote 0 files, skipped 365
[FH] BSX: wrote 0 files, skipped 365
[FH] BSX: wrote 0 files, skipped 365
[FH] BSX: wrote 0 files, skipped 365
[FH] BSX: wrote 0 files, skipped 365
[FH] BSX: wrote 0 files, skipped 365
