[FH] EQIX: wrote 3 files, skipped 362
[FH] EQIX: wrote 0 files, skipped 365
[FH] EQIX: wrote 0 files, skipped 365
[FH] EQIX: wrote 0 files, skipped 365
[FH] EQIX: wrote 0 files, skipped 365
[FH] EQIX: wrote 0 files, skipped 365
[FH] EQIX: wrote 0 files, skipped 365
[FH] EQIX: wrote 0 files, skipped 365
[FH] EQIX: wrote 0 files, skipped 365
[FH] EQIX: wrote 0 files, skipped 365
