[FH] TECH: wrote 1 files, skipped 364
[FH] TECH: wrote 0 files, skipped 365
[FH] TECH: wrote 0 files, skipped 365
[FH] TECH: wrote 0 files, skipped 365
[FH] TECH: wrote 0 files, skipped 365
[FH] TECH: wrote 0 files, skipped 365
[FH] TECH: wrote 0 files, skipped 365
[FH] TECH: wrote 0 files, skipped 365
[FH] TECH: wrote 0 files, skipped 365
[FH] TECH: wrote 0 files, skipped 365
