[FH] CPAY: wrote 3 files, skipped 362
[FH] CPAY: wrote 0 files, skipped 365
[FH] CPAY: wrote 0 files, skipped 365
[FH] CPAY: wrote 0 files, skipped 365
[FH] CPAY: wrote 0 files, skipped 365
[FH] CPAY: wrote 0 files, skipped 365
[FH] CPAY: wrote 0 files, skipped 365
[FH] CPAY: wrote 0 files, skipped 365
[FH] CPAY: wrote 0 files, skipped 365
[FH] CPAY: wrote 0 files, skipped 365
[FH] CPAY: wrote 1 files, skipped 364
