[FH] CMG: wrote 3 files, skipped 362
[FH] CMG: wrote 0 files, skipped 365
[FH] CMG: wrote 0 files, skipped 365
[FH] CMG: wrote 0 files, skipped 365
[FH] CMG: wrote 0 files, skipped 365
[FH] CMG: wrote 0 files, skipped 365
[FH] CMG: wrote 0 files, skipped 365
[FH] CMG: wrote 0 files, skipped 365
[FH] CMG: wrote 0 files, skipped 365
[FH] CMG: wrote 0 files, skipped 365
[FH] CMG: wrote 1 files, skipped 364
[FH] CMG: wrote 0 files, skipped 365
