[FH] CTAS: wrote 3 files, skipped 362
[FH] CTAS: wrote 0 files, skipped 365
[FH] CTAS: wrote 0 files, skipped 365
[FH] CTAS: wrote 0 files, skipped 365
[FH] CTAS: wrote 0 files, skipped 365
[FH] CTAS: wrote 0 files, skipped 365
[FH] CTAS: wrote 0 files, skipped 365
[FH] CTAS: wrote 0 files, skipped 365
[FH] CTAS: wrote 0 files, skipped 365
[FH] CTAS: wrote 0 files, skipped 365
[FH] CTAS: wrote 1 files, skipped 364
[FH] CTAS: wrote 0 files, skipped 365
[FH] CTAS: wrote 0 files, skipped 365
