[FH] BMY: wrote 3 files, skipped 362
[FH] BMY: wrote 0 files, skipped 365
[FH] BMY: wrote 0 files, skipped 365
[FH] BMY: wrote 0 files, skipped 365
[FH] BMY: wrote 0 files, skipped 365
[FH] BMY: wrote 0 files, skipped 365
[FH] BMY: wrote 0 files, skipped 365
[FH] BMY: wrote 0 files, skipped 365
[FH] BMY: wrote 0 files, skipped 365
[FH] BMY: wrote 0 files, skipped 365
[FH] BMY: wrote 1 files, skipped 364
[FH] BMY: wrote 0 files, skipped 365
