[FH] BXP: wrote 3 files, skipped 362
[FH] BXP: wrote 0 files, skipped 365
[FH] BXP: wrote 0 files, skipped 365
[FH] BXP: wrote 0 files, skipped 365
[FH] BXP: wrote 0 files, skipped 365
[FH] BXP: wrote 0 files, skipped 365
[FH] BXP: wrote 0 files, skipped 365
[FH] BXP: wrote 0 files, skipped 365
[FH] BXP: wrote 0 files, skipped 365
[FH] BXP: wrote 0 files, skipped 365
[FH] BXP: wrote 1 files, skipped 364
[FH] BXP: wrote 0 files, skipped 365
