[FH] DAL: wrote 3 files, skipped 362
[FH] DAL: wrote 0 files, skipped 365
[FH] DAL: wrote 0 files, skipped 365
[FH] DAL: wrote 0 files, skipped 365
[FH] DAL: wrote 0 files, skipped 365
[FH] DAL: wrote 0 files, skipped 365
[FH] DAL: wrote 0 files, skipped 365
[FH] DAL: wrote 0 files, skipped 365
[FH] DAL: wrote 0 files, skipped 365
[FH] DAL: wrote 0 files, skipped 365
