[FH] DASH: wrote 3 files, skipped 362
[FH] DASH: wrote 0 files, skipped 365
[FH] DASH: wrote 0 files, skipped 365
[FH] DASH: wrote 0 files, skipped 365
[FH] DASH: wrote 0 files, skipped 365
[FH] DASH: wrote 0 files, skipped 365
[FH] DASH: wrote 0 files, skipped 365
[FH] DASH: wrote 0 files, skipped 365
[FH] DASH: wrote 0 files, skipped 365
