[FH] DVA: wrote 3 files, skipped 362
[FH] DVA: wrote 0 files, skipped 365
[FH] DVA: wrote 0 files, skipped 365
[FH] DVA: wrote 0 files, skipped 365
[FH] DVA: wrote 0 files, skipped 365
[FH] DVA: wrote 0 files, skipped 365
[FH] DVA: wrote 0 files, skipped 365
[FH] DVA: wrote 0 files, skipped 365
[FH] DVA: wrote 0 files, skipped 365
[FH] DVA: wrote 0 files, skipped 365
