[FH] FFIV: wrote 3 files, skipped 362
[FH] FFIV: wrote 0 files, skipped 365
[FH] FFIV: wrote 0 files, skipped 365
[FH] FFIV: wrote 0 files, skipped 365
[FH] FFIV: wrote 0 files, skipped 365
[FH] FFIV: wrote 0 files, skipped 365
[FH] FFIV: wrote 0 files, skipped 365
[FH] FFIV: wrote 0 files, skipped 365
[FH] FFIV: wrote 0 files, skipped 365
[FH] FFIV: wrote 0 files, skipped 365
[FH] FFIV: wrote 1 files, skipped 364
