[FH] FTV: wrote 3 files, skipped 362
[FH] FTV: wrote 0 files, skipped 365
[FH] FTV: wrote 0 files, skipped 365
[FH] FTV: wrote 0 files, skipped 365
[FH] FTV: wrote 0 files, skipped 365
[FH] FTV: wrote 0 files, skipped 365
[FH] FTV: wrote 0 files, skipped 365
[FH] FTV: wrote 0 files, skipped 365
[FH] FTV: wrote 0 files, skipped 365
