[FH] CCL: wrote 3 files, skipped 362
[FH] CCL: wrote 0 files, skipped 365
[FH] CCL: wrote 0 files, skipped 365
[FH] CCL: wrote 0 files, skipped 365
[FH] CCL: wrote 0 files, skipped 365
[FH] CCL: wrote 0 files, skipped 365
[FH] CCL: wrote 0 files, skipped 365
[FH] CCL: wrote 0 files, skipped 365
[FH] CCL: wrote 0 files, skipped 365
[FH] CCL: wrote 0 files, skipped 365
