[FH] DUK: wrote 3 files, skipped 362
[FH] DUK: wrote 0 files, skipped 365
[FH] DUK: wrote 0 files, skipped 365
[FH] DUK: wrote 0 files, skipped 365
[FH] DUK: wrote 0 files, skipped 365
[FH] DUK: wrote 0 files, skipped 365
[FH] DUK: wrote 0 files, skipped 365
[FH] DUK: wrote 0 files, skipped 365
[FH] DUK: wrote 0 files, skipped 365
[FH] DUK: wrote 0 files, skipped 365
[FH] DUK: wrote 1 files, skipped 364
