[FH] IBKR: wrote 2 files, skipped 363
[FH] IBKR: wrote 0 files, skipped 365
[FH] IBKR: wrote 0 files, skipped 365
[FH] IBKR: wrote 0 files, skipped 365
[FH] IBKR: wrote 0 files, skipped 365
[FH] IBKR: wrote 0 files, skipped 365
[FH] IBKR: wrote 0 files, skipped 365
[FH] IBKR: wrote 0 files, skipped 365
[FH] IBKR: wrote 0 files, skipped 365
[FH] IBKR: wrote 0 files, skipped 365
[FH] IBKR: wrote 1 files, skipped 364
[FH] IBKR: wrote 0 files, skipped 365
